Numero;lat1;lon1
246;-84.38936;10.52418
247;-84.36401;10.42873
248;-84.36539;10.43008
249;-84.36547;10.43185
250;-84.36633;10.43261
251;-84.36899;10.43312
252;-84.36996;10.43537
253;-84.36993;10.43621
254;-84.3697;10.43785
255;-84.37032;10.43934
256;-84.37114;10.44068
257;-84.36986;10.44421
258;-84.37113;10.44489
259;-84.37164;10.44612
260;-84.37037;10.44772
261;-84.37084;10.44853
262;-84.37204;10.45019
263;-84.37272;10.45236
264;-84.37294;10.45258
265;-84.37348;10.45248
266;-84.37375;10.45258
267;-84.37401;10.45308
268;-84.37391;10.45379
269;-84.37328;10.45526
270;-84.37425;10.45696
271;-84.37503;10.45815
272;-84.37557;10.45864
273;-84.37634;10.45887
274;-84.3766;10.4592
275;-84.37652;10.45964
276;-84.37617;10.46084
277;-84.37635;10.46099
278;-84.37701;10.46107
279;-84.37742;10.46129
280;-84.37743;10.46217
281;-84.37734;10.46301
282;-84.37748;10.46351
283;-84.37865;10.46365
284;-84.37945;10.46404
285;-84.37946;10.46483
286;-84.38015;10.46526
287;-84.38144;10.46551
288;-84.38219;10.46542
289;-84.36707;10.44394
290;-84.36625;10.44128
291;-84.36464;10.44175
292;-84.36134;10.44277
293;-84.36102;10.44289
294;-84.35762;10.44393
295;-84.357;10.44412
296;-84.35442;10.44489
297;-84.35324;10.44528
298;-84.34733;10.4099
299;-84.34833;10.41073
300;-84.34875;10.41177
301;-84.349;10.41273
302;-84.3493;10.41374
303;-84.34957;10.41567
304;-84.34975;10.41634
305;-84.35001;10.41672
306;-84.35088;10.41735
307;-84.35098;10.41754
308;-84.35087;10.41823
309;-84.35078;10.41893
310;-84.35082;10.41957
311;-84.35138;10.42032
312;-84.35224;10.42087
313;-84.35319;10.42099
314;-84.35481;10.42033
315;-84.35628;10.42002
316;-84.35808;10.42093
317;-84.35898;10.42115
318;-84.36054;10.42222
319;-84.36099;10.42303
320;-84.36152;10.42364
321;-84.36213;10.42433
322;-84.36248;10.42494
323;-84.36259;10.4252
324;-84.36274;10.42552
325;-84.36276;10.42564
326;-84.36447;10.42685
327;-84.36444;10.42814
328;-84.36401;10.42873
329;-84.35671;10.44208
330;-84.35668;10.44316
