N;Latitude;Longitude
246;9,996705;-83,78537
247;9,996745;-83,785397
248;9,99675;-83,785383
249;9,996768;-83,785405
250;9,996785;-83,785413
251;9,9967;-83,785415
252;9,996738;-83,785385
253;9,996702;-83,785398
254;9,996832;-83,7854
255;9,996768;-83,785417
256;9,996695;-83,785367
257;9,99672;-83,785347
258;9,996743;-83,78539
259;9,996758;-83,785413
260;9,99677;-83,785443
261;9,9967;-83,78542
262;9,9967;-83,785415
263;9,996745;-83,785398
264;9,996765;-83,785472
265;9,996782;-83,785413
266;9,996737;-83,78539
267;9,996733;-83,785312
268;9,996693;-83,785372
269;9,996843;-83,785395
270;9,996715;-83,78537
271;9,9967;-83,785398
272;9,996765;-83,78541
273;9,996743;-83,785335
274;9,996697;-83,785377
275;9,996772;-83,785403
276;9,996738;-83,785385
277;9,99669;-83,785405
278;9,996757;-83,785357
279;9,996693;-83,785373
280;9,996748;-83,785388
281;9,996767;-83,78538
282;9,996713;-83,78537
283;9,996747;-83,785378
284;9,996727;-83,78539
285;9,996743;-83,785388
